Cleanup_ID,Country,State,Zone,GPS,Cleanup_type,Cleanup_date,Animal,Animal_Status,
6143,United States,"California, USA","Imperial Beach, CA, USA","32.583849325657, -117.1321105957",land,09/17/2016,clam,dead,
6148,United States,"California, USA","Encinitas, CA, USA","33.016940415499, -117.28282928467",land,09/17/2016,sting ray,dead,
6148,United States,"California, USA","Encinitas, CA, USA","33.016940415499, -117.28282928467",land,09/17/2016,bird,dead,
6165,South Africa,,,"-34.036088537725, 25.498795509338",land,09/17/2016,2 x Dead Birds (unknown),dead,
6183,United States,"Florida, USA","Marathon, FL 33050, USA","24.70352334532, -81.077513694763",land,09/19/2015,Crab,dead,
6183,United States,"Florida, USA","Marathon, FL 33050, USA","24.70352334532, -81.077513694763",land,09/19/2015,Bird,dead,
6210,Guam,,"Hag̴ṯa, Guam","13.479133235505, 144.75402474403",land,09/17/2016,Fish,dead,
6210,Guam,,"Hag̴ṯa, Guam","13.479133235505, 144.75402474403",land,09/17/2016,Fish,dead,
6214,South Africa,"Western Cape, South Africa","Doringbaai, 8151, South Africa","-31.818100282209, 18.233817815781",land,09/16/2016,Dead dog,dead,
6217,South Africa,"Northern Cape, South Africa","Namakwa, South Africa","-30.83164528309, 17.566366195679",land,09/30/2016,Cape Fur Seal (Young) x 2,dead,
6218,South Africa,"Northern Cape, South Africa","Hondeklip Bay, South Africa","-30.314691069386, 17.274949550629",land,09/17/2016,2 x Cape Fur Seals (young),dead,
6220,South Africa,"Western Cape, South Africa","Cape Town, South Africa","-33.664425113054, 18.42351436615",land,09/15/2016,Cape Gannet,dead,
6220,South Africa,"Western Cape, South Africa","Cape Town, South Africa","-33.664425113054, 18.42351436615",land,09/15/2016,Cape Fur Seal,dead,
6222,United States,"Florida, USA","Englewood, FL, USA","26.941084147058, -82.354202270508",land,09/17/2016,Horseshoe Crab,dead,
6222,United States,"Florida, USA","Englewood, FL, USA","26.941084147058, -82.354202270508",land,09/17/2016,Crab,dead,
6222,United States,"Florida, USA","Englewood, FL, USA","26.941084147058, -82.354202270508",land,09/17/2016,Fish,dead,
6223,United States,"Florida, USA","Englewood, FL, USA","26.941084147058, -82.354202270508",land,09/17/2016,misc.,dead,
6224,United States,"Florida, USA","Englewood, FL, USA","26.941084147058, -82.354202270508",land,09/17/2016,Misc.,dead,
6225,United States,"Florida, USA","Englewood, FL, USA","26.941084147058, -82.354202270508",land,09/17/2016,Misc.,dead,
6226,United States,"Florida, USA","Englewood, FL, USA","26.941084147058, -82.354202270508",land,09/17/2016,Horseshoe Crab,dead,
6231,United States,"Florida, USA","Marathon, FL 33050, USA","24.703367393869, -81.077728271484",land,09/17/2016,Crab,dead,
6237,United States,"Florida, USA","Punta Gorda, FL, USA","26.931075441485, -82.057571411133",land,09/17/2016,Rabbit,dead,
6251,United States,"Florida, USA","Charlotte County, FL, USA","27.006990821455, -81.989593505859",land,09/17/2016,Fish,dead,
6257,United States,"Florida, USA","Punta Gorda, FL, USA","26.932313191407, -82.057528495789",land,09/17/2016,crabs,dead,
6258,Belize,"Orange Walk District, Belize","Orange Walk, Belize","18.079927024511, -88.557486534119",land,09/29/2016,cat,dead,
6261,United States,"Florida, USA","Manasota Key, FL 34223, USA","26.934804327896, -82.366819381714",land,09/17/2016,Hog bones,dead,
6265,United States,"Florida, USA","Charlotte Harbor, FL, USA","26.953014608363, -82.062549591064",land,09/16/2016,fish,dead,
